record,subsystem,category,on_css,in_profile,in_baseline,css_fields,css_screens,profile_device,profile_dotted,classname,read_only
VFM:GET-VOUT3,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch3,EpicsSignal,RW
VFM:GET-VOUT4,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch4,EpicsSignal,RW
VFM:GET-VOUT5,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch5,EpicsSignal,RW
VFM:GET-VOUT6,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch6,EpicsSignal,RW
VFM:GET-VOUT7,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch7,EpicsSignal,RW
VFM:GET-VOUT8,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch8,EpicsSignal,RW
VFM:GET-VOUT9,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch9,EpicsSignal,RW
VFM:GET-VTRGT0,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch0_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT1,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch1_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT10,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch10_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT11,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch11_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT12,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch12_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT13,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch13_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT14,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch14_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT15,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch15_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT2,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch2_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT3,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch3_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT4,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch4_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT5,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch5_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT6,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch6_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT7,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch7_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT8,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch8_trg_rb,EpicsSignalRO,RO
VFM:GET-VTRGT9,op,covered,1,1,1,,12id/op/Adaptos/_Adaptos-status.bob,vfm_voltage,ch9_trg_rb,EpicsSignalRO,RO
VFM:RESET-LASTERR,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
VFM:SET-ALLOFF,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
VFM:SET-ALLON,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-do.bob,,,,
VFM:SET-ALLSHIFT,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-ao.bob,vfm_voltage,shift_rel,EpicsSignal,RW
VFM:SET-ALLTRGT,op,covered,1,1,1,DESC,12id/op/Adaptos/_Adaptos-ao.bob,vfm_voltage,apply_sig,EpicsSignal,RW
VFM:SET-ALLVOLT,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-HVFAN,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-KILLERAPPLY,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-KILLERDEL,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-KILLERSTOP,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-MODE,op,css_only,1,0,0,DESC,12id/op/Adaptos/_Adaptos-ao.bob,,,,
VFM:SET-SHIFT0,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
VFM:SET-SHIFT1,op,css_only,1,0,0,,12id/op/Adaptos/_Adaptos-status.bob,,,,
